id,lo_mhz,hi_mhz,name,service,description,mode,tags,source
dab-5a,174.160,175.696,DAB Block 5A,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-5b,175.872,177.408,DAB Block 5B,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-5c,177.584,179.120,DAB Block 5C,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-5d,179.296,180.832,DAB Block 5D,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-6a,181.168,182.704,DAB Block 6A,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-6b,182.880,184.416,DAB Block 6B,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-6c,184.592,186.128,DAB Block 6C,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-6d,186.304,187.840,DAB Block 6D,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-7a,188.160,189.696,DAB Block 7A,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-7b,189.872,191.408,DAB Block 7B,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-7c,191.584,193.120,DAB Block 7C,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-7d,193.296,194.832,DAB Block 7D,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-8a,195.168,196.704,DAB Block 8A,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-8b,196.880,198.416,DAB Block 8B,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
dab-8c,198.592,200.128,DAB Block 8C,Broadcast,DAB/DAB+ digital radio multiplex block; national use varies by country.,OFDM,dab;broadcast;digital,ETSI EN 300 401 / ECC
